,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,tazovskiy,100,RU,1580664988,95,67.47,78.7,-9.85,20.65
1,puerto ayora,20,EC,1580664988,70,-0.74,-90.35,84.2,14.99
2,brae,20,GB,1580664989,80,60.4,-1.35,35.6,5.82
3,hirara,0,JP,1580664989,57,24.8,125.28,63.91,7.58
4,rikitea,100,PF,1580664989,77,-23.12,-134.97,79.48,16.15
5,kodiak,90,US,1580664989,89,57.79,-152.41,32.0,19.46
6,hithadhoo,27,MV,1580664989,75,-0.6,73.08,82.26,12.91
7,punta arenas,75,CL,1580664990,76,-53.15,-70.92,50.0,11.41
8,pochutla,20,MX,1580664990,62,15.74,-96.47,86.0,5.01
9,kang,0,BW,1580664990,20,-23.68,22.79,81.97,9.28
10,te anau,100,NZ,1580664990,97,-45.42,167.72,57.92,0.85
11,busselton,0,AU,1580664990,72,-33.65,115.33,59.0,1.01
12,cherskiy,100,RU,1580664990,98,68.75,161.3,-26.97,5.73
13,hualmay,78,PE,1580664990,58,-11.1,-77.61,81.16,10.94
14,vaini,75,TO,1580664990,94,-21.2,-175.2,75.2,5.82
15,port-cartier,75,CA,1580664991,67,50.03,-66.87,25.0,4.7
16,chuy,0,UY,1580664991,37,-33.7,-53.46,85.5,5.68
17,yellowknife,40,CA,1580664933,74,62.46,-114.35,-23.01,12.75
18,ushuaia,40,AR,1580664991,47,-54.8,-68.3,57.2,5.82
19,saskylakh,99,RU,1580664991,92,71.92,114.08,-16.83,8.37
20,kaitangata,100,NZ,1580664991,97,-46.28,169.85,55.0,16.91
21,hermanus,27,ZA,1580664991,95,-34.42,19.23,69.64,16.78
22,torbay,90,CA,1580664991,100,47.67,-52.73,33.01,33.33
23,east london,40,ZA,1580664982,83,-33.02,27.91,73.4,9.17
24,saint-philippe,75,RE,1580664991,88,-21.36,55.77,78.8,28.86
25,praia da vitoria,40,PT,1580664992,76,38.73,-27.07,57.2,10.0
26,bredasdorp,6,ZA,1580664845,83,-34.53,20.04,71.6,9.17
27,ancud,90,CL,1580664992,72,-41.87,-73.82,59.0,11.41
28,grindavik,90,IS,1580664992,67,63.84,-22.43,32.0,10.29
29,dikson,0,RU,1580664992,82,73.51,80.55,-18.9,14.25
30,santa isabel do rio negro,80,BR,1580664992,47,-0.41,-65.02,93.13,5.23
31,port alfred,92,ZA,1580664992,94,-33.59,26.89,73.99,16.11
32,new norfolk,75,AU,1580664992,76,-42.78,147.06,50.0,12.75
33,ayan,100,RU,1580664992,80,56.45,138.17,0.57,5.41
34,monte patria,0,CL,1580664993,31,-30.69,-70.95,83.41,10.36
35,samur,0,RU,1580664993,73,41.83,48.49,44.62,15.1
36,ust-kishert,90,RU,1580665014,96,57.37,57.25,13.8,6.24
37,conakry,0,GN,1580665014,70,9.54,-13.68,82.29,12.86
38,fairbanks,82,US,1580665014,73,64.84,-147.72,-15.0,3.24
39,alice springs,90,AU,1580664785,77,-23.7,133.88,69.8,8.05
40,maniitsoq,100,GL,1580665014,57,65.42,-52.9,12.96,3.36
41,tasiilaq,90,GL,1580665014,68,65.61,-37.64,26.6,5.82
42,qaanaaq,85,GL,1580665014,58,77.48,-69.36,-24.52,2.37
43,viedma,0,AR,1580665015,24,-40.81,-63.0,76.12,13.38
44,beloha,2,MG,1580665015,69,-25.17,45.05,76.1,20.38
45,talnakh,0,RU,1580664865,69,69.49,88.4,-11.2,15.66
46,dunedin,57,NZ,1580665015,99,-45.87,170.5,57.99,4.05
47,jamestown,90,US,1580665015,92,42.1,-79.24,33.8,10.29
48,fortuna,20,US,1580665015,81,40.6,-124.16,46.0,3.36
49,mount isa,100,AU,1580665015,100,-20.73,139.5,77.0,3.36
50,dolores,24,AR,1580665015,11,-36.31,-57.68,102.85,4.52
51,sur,24,OM,1580665016,57,22.57,59.53,68.07,7.07
52,kapaa,1,US,1580664797,93,22.08,-159.32,62.6,9.17
53,hilo,75,US,1580664904,82,19.73,-155.09,66.2,6.93
54,broken hill,0,AU,1580665016,67,-31.95,141.43,62.6,12.75
55,izhma,100,RU,1580665016,95,65.01,53.91,2.62,7.43
56,yumen,20,CN,1580665016,49,40.28,97.2,17.94,2.71
57,pisco,40,PE,1580665016,30,-13.7,-76.22,75.99,8.05
58,marzuq,51,YE,1580665037,69,14.4,46.47,67.53,4.81
59,the valley,20,AI,1580665038,65,18.22,-63.06,86.0,10.29
60,srednekolymsk,99,RU,1580665038,99,67.45,153.68,-26.73,6.29
61,saint-pierre,75,RE,1580665038,88,-21.34,55.48,78.8,28.86
62,tuktoyaktuk,75,CA,1580665039,74,69.45,-133.04,-25.6,12.75
63,albany,90,US,1580665039,64,42.6,-73.97,37.99,4.05
64,majene,86,ID,1580665039,91,-3.54,118.97,75.06,3.27
65,castro,85,BR,1580665040,94,-24.79,-50.01,73.56,1.92
66,katobu,100,ID,1580665040,94,-4.94,122.53,75.63,5.03
67,mendi,100,PG,1580665040,97,-6.18,143.65,52.16,1.54
68,longyearbyen,90,SJ,1580664871,85,78.22,15.64,21.2,5.82
69,isangel,100,VU,1580665040,86,-19.55,169.27,79.2,15.68
70,abatskoye,100,RU,1580665040,94,56.29,70.46,12.78,5.97
71,araouane,0,ML,1580665040,9,18.9,-3.53,76.44,7.4
72,seymchan,78,RU,1580665040,99,62.88,152.43,-29.99,2.35
73,georgetown,20,MY,1580665040,61,5.41,100.34,82.4,12.75
74,geraldton,44,AU,1580665040,18,-28.77,114.6,89.6,12.75
75,nacala,99,MZ,1580665041,93,-14.54,40.67,75.34,2.98
76,barrow,1,US,1580665041,95,71.29,-156.79,-40.0,12.75
77,luderitz,0,NA,1580665041,91,-26.65,15.16,63.57,23.89
78,avarua,0,CK,1580665041,78,-21.21,-159.78,78.8,4.7
79,san carlos de bariloche,88,AR,1580665041,21,-41.15,-71.31,79.0,12.1
80,flinders,90,AU,1580665041,100,-34.58,150.86,73.0,2.24
81,vanavara,0,RU,1580665042,96,60.34,102.28,-35.93,1.32
82,ribeira grande,20,PT,1580665042,63,38.52,-28.7,60.8,10.29
83,kushima,6,JP,1580665042,80,31.46,131.23,41.0,5.01
84,bluff,100,NZ,1580665063,98,-46.6,168.33,59.0,1.01
85,esso,0,RU,1580665064,79,55.93,158.7,-17.52,7.29
86,nemuro,5,JP,1580665064,71,43.32,145.57,25.95,8.23
87,dedovichi,99,RU,1580665064,89,57.55,29.95,40.08,10.85
88,mataura,100,NZ,1580665064,98,-46.19,168.86,59.0,1.01
89,cabo san lucas,90,MX,1580664919,93,22.89,-109.91,66.0,4.7
90,mahebourg,40,MU,1580665064,83,-20.41,57.7,80.6,12.75
91,dauphin,75,CA,1580665064,74,51.15,-100.05,30.2,23.04
92,fushun,78,CN,1580665009,84,41.86,123.92,5.0,2.24
93,moindou,100,NC,1580665064,78,-21.69,165.68,73.4,2.24
94,nalut,0,LY,1580665065,45,30.33,10.85,57.54,14.79
95,lasa,40,IT,1580665065,100,46.62,10.7,39.0,3.36
96,parfenyevo,100,RU,1580665065,96,58.48,43.41,29.66,12.53
97,nyrob,100,RU,1580665065,94,60.73,56.72,16.77,8.21
98,khani,90,GE,1580665065,93,41.96,42.96,39.2,4.7
99,arraial do cabo,75,BR,1580665065,79,-22.97,-42.03,86.0,11.41
100,chokurdakh,18,RU,1580665065,93,70.63,147.92,-29.72,9.06
101,sawtell,67,AU,1580665065,78,-30.38,153.1,77.0,16.11
102,ilulissat,100,GL,1580665065,70,69.22,-51.1,1.4,2.24
103,iqaluit,90,CA,1580664881,85,63.75,-68.51,10.4,3.36
104,constitucion,11,CL,1580665066,49,-35.33,-72.42,66.94,13.15
105,port macquarie,90,AU,1580665066,100,-31.43,152.92,75.99,7.11
106,baghdad,0,IQ,1580664833,48,33.34,44.4,48.2,6.93
107,zyryanka,100,RU,1580665066,100,65.75,150.85,-31.85,1.1
108,hami,73,CN,1580665066,55,42.8,93.45,13.78,1.61
109,abrau-dyurso,75,RU,1580665066,81,44.69,37.59,51.8,29.08
110,atar,0,MR,1580665067,7,20.52,-13.05,86.09,12.48
111,saint george,1,US,1580665067,60,37.1,-113.58,53.01,4.29
112,hobart,75,AU,1580664923,76,-42.88,147.33,50.0,12.75
113,smirnykh,100,RU,1580665067,92,49.75,142.83,2.88,3.51
114,hokitika,100,NZ,1580665067,93,-42.72,170.97,65.97,14.54
115,solginskiy,100,RU,1580665067,91,61.05,41.34,30.58,10.89
116,anadyr,20,RU,1580665067,64,64.75,177.48,-43.01,6.71
117,provideniya,11,RU,1580665067,88,64.38,-173.3,-18.81,15.52
118,butaritari,61,KI,1580665068,79,3.07,172.79,82.71,16.4
119,sinop,0,TR,1580665068,93,41.77,34.87,46.4,8.34
120,urdoma,100,RU,1580665068,92,61.75,48.54,25.36,11.23
121,thunder bay,90,CA,1580665068,86,48.4,-89.32,36.0,3.36
122,pangody,96,RU,1580665068,95,65.85,74.49,-2.02,13.33
123,airai,98,TL,1580665068,90,-8.93,125.41,67.41,3.38
124,ostrovnoy,92,RU,1580665068,95,68.05,39.51,-0.2,15.26
125,kavieng,85,PG,1580665068,81,-2.57,150.8,83.26,15.75
126,boyuibe,20,BO,1580665068,49,-20.42,-63.28,89.6,5.46
127,nkhata bay,76,MW,1580665069,73,-11.61,34.29,79.41,6.78
128,kailua,75,US,1580664868,88,21.4,-157.74,68.0,18.01
129,clyde river,5,CA,1580665069,66,70.47,-68.59,-29.2,3.36
130,las choapas,75,MX,1580665069,88,17.93,-94.08,69.8,9.17
131,meulaboh,100,ID,1580665069,76,4.14,96.13,82.9,3.02
132,grajau,59,BR,1580665069,65,-5.82,-46.14,86.02,2.39
133,mangrol,8,IN,1580665090,68,21.12,70.12,73.53,6.82
134,sola,100,VU,1580665090,76,-13.88,167.55,83.41,8.32
135,mogadishu,91,SO,1580665013,79,2.04,45.34,79.45,23.6
136,norman wells,75,CA,1580665091,65,65.28,-126.83,-36.4,3.36
137,lake city,1,US,1580665091,47,30.19,-82.64,60.01,9.17
138,cape town,20,ZA,1580664969,78,-33.93,18.42,73.99,14.99
139,jinchang,0,CN,1580665091,26,38.5,102.17,21.63,5.3
140,hasaki,75,JP,1580665091,59,35.73,140.83,41.0,4.7
141,gao,0,ML,1580665091,8,16.64,1.64,78.73,8.72
142,victoria,20,HK,1580665091,77,22.29,114.16,64.99,11.41
143,fort nelson,40,CA,1580665092,75,58.81,-122.7,-14.8,5.82
144,pangani,12,TZ,1580665092,83,-5.43,38.97,81.14,10.83
145,hit,0,IQ,1580665092,56,33.64,42.83,49.06,5.03
146,cayenne,75,GF,1580665077,62,4.93,-52.33,86.0,11.41
